CODIGO;DESCRIPCION
I-2000;PERÍODO I-2000
II-2000;PERÍODO II-2000
I-2001;PERÍODO I-2001
II-2001;PERÍODO II-2001
I-2002;PERÍODO I-2002
II-2002;PERÍODO II-2002
I-2003;PERÍODO I-2003
II-2003;PERÍODO II-2003
I-2004;PERÍODO I-2004
II-2004;PERÍODO II-2004
I-2005;PERÍODO I-2005
II-2005;PERÍODO II-2005
I-2006;PERÍODO I-2006
II-2006;PERÍODO II-2006
I-2007;PERÍODO I-2007
II-2007;PERÍODO II-2007
I-2008;PERÍODO I-2008
II-2008;PERÍODO II-2008
I-2009;PERÍODO I-2009
II-2009;PERÍODO II-2009
I-2010;PERÍODO I-2010
II-2010;PERÍODO II-2010
I-2011;PERÍODO I-2011
II-2011;PERÍODO II-2011
I-2012;PERÍODO I-2012
II-2012;PERÍODO II-2012
I-2013;PERÍODO I-2013
II-2013;PERÍODO II-2013
I-2014;PERÍODO I-2014
II-2014;PERÍODO II-2014
